Id,Label,Category,sigmai
1,A-B,Labour Intensive,.3073168909350477
2,C10-C12,Labour Intensive,.5936583615658817
3,C13-C15,Labour Intensive,.2783224113685614
4,C16,Labour Intensive,.3667175216660214
5,C17,Labour Intensive,.3734267862219244
6,C18,Labour Intensive,.4833202163941909
7,C19,Labour Intensive,.5422231435209215
8,C20,Capital Intensive,.7150398338195919
9,C21,Labour Intensive,.7796719558592817
10,C22,Labour Intensive,.4872509309679932
11,C23,Labour Intensive,.4042344408609172
12,C24,Labour Intensive,.4980700194652909
13,C25,Labour Intensive,.4194672135542161
14,C26,Labour Intensive,.6781417303852302
15,C27,Labour Intensive,.5973001525792542
16,C28,Labour Intensive,.3761457698458663
17,C29,Labour Intensive,.5058012934239111
18,C30,Labour Intensive,.3258561916435994
19,C31-C32,Capital Intensive,.3999683270999244
20,C33,Labour Intensive,.2769874156235808
21,D35,Capital Intensive,.2105861194084183
22,E36-E39,Capital Intensive,.1179226055694342
23,F,Labour Intensive,.309317577122769
24,G45,Labour Intensive,.1013131673848087
25,G46,Labour Intensive,.5076365011149148
26,G47,Labour Intensive,.1683145277731579
27,H49,Labour Intensive,.1285715244913543
28,H50,Labour Intensive,.246924945047965
29,H51,Capital Intensive,.4295440745778236
30,H52,Capital Intensive,.0854509541725519
31,H53,Labour Intensive,.0871467662483548
32,I,Labour Intensive,.1001032342564026
33,J58,Capital Intensive,.4595843919866953
34,J59-J60,Labour Intensive,.1842670632379593
35,J61,Labour Intensive,.2540716312529456
36,J62-J63,Labour Intensive,.760884477425031
37,K65-K66,Labour Intensive,.3339049559683289
38,L68,Capital Intensive,.0543762601351836
39,M69-M71,Labour Intensive,.1320933167443656
40,M72,Labour Intensive,.1735136127170478
41,M73,Labour Intensive,.1214481955175756
42,M74-M75,Labour Intensive,.0995814970188579
43,N,Capital Intensive,.0542794876216211
44,O84,Capital Intensive,.1098590513418092
45,P85,Labour Intensive,.0595921295486902
46,Q,Labour Intensive,.0826473940923335
47,R-S,Labour Intensive,.1019746747684646
48,T,Labour Intensive,1.27702920646e-13
